t=2025-11-12T15:24:15+0100 lvl=info msg="no configuration paths supplied"
t=2025-11-12T15:24:15+0100 lvl=info msg="using configuration at default config path" path=C:\\Users\\Sidney\\AppData\\Local/ngrok/ngrok.yml
t=2025-11-12T15:24:15+0100 lvl=info msg="open config file" path=C:\\Users\\Sidney\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2025-11-12T15:24:15+0100 lvl=eror msg="unable to evaluate ngrok agent binary path for symlinks" obj=tunnels.session err="The system cannot find the path specified."
t=2025-11-12T15:24:15+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-11-12T15:24:15+0100 lvl=info msg="client session established" obj=tunnels.session
t=2025-11-12T15:24:15+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-11-12T15:35:32+0100 lvl=info msg="join connections" obj=join id=ee3f47690133 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:35:32+0100 lvl=info msg="join connections" obj=join id=d1701b593d67 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:35:32+0100 lvl=info msg="join connections" obj=join id=10512831492d l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:35:33+0100 lvl=info msg="join connections" obj=join id=f8270b93fda2 l=[::1]:3000 r=78.113.30.26:49199
t=2025-11-12T15:35:33+0100 lvl=info msg="join connections" obj=join id=0128f77064f7 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:35:34+0100 lvl=info msg="join connections" obj=join id=75469454dd5c l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:36:06+0100 lvl=info msg="join connections" obj=join id=dbb93f253819 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:36:06+0100 lvl=info msg="join connections" obj=join id=bcc897b5521a l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:36:06+0100 lvl=info msg="join connections" obj=join id=954ad85f2f8e l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:36:06+0100 lvl=info msg="join connections" obj=join id=cf97d9b7a9bd l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:36:06+0100 lvl=info msg="join connections" obj=join id=d2431fdc91a8 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:36:06+0100 lvl=info msg="join connections" obj=join id=d050915bb7c6 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:36:06+0100 lvl=info msg="join connections" obj=join id=8e49f2448d6e l=[::1]:3000 r=78.113.30.26:59670
